       |BH ID|          |Galaxy ID|   |Distance from Center| 
      245571256              1         2.1554
      245571258              0         0.24788
      245571260             10         0.012564
      245571262            620         0.30103
      245571264             32         0.10045
      245571267             72         0.87708
      245571273             17         0.0099353
      245571276             20         0.0044891
      245571288             31         0.014831
      245571296           3409         2.0726
      245571298             12         0.35343
      245571330              0         0.12938
      245571331             46         0.022757
      245572161             80         0.027785
      245572163            179         0.2651
      245572229             36         0.2537
      245572345              3         0.0044605
      245572410              0         0.59931
      245572411             13         1.3535
      245572457            422         0.49037
      245572458              4         1.7264
      245572494             23         1.291
      245572614             49         0.047638
      245572856              1         0.14223
      245572858             14         0.22748
      245572965             97         0.033324
      245573045             18         0.053206
      245573047             90         0.030432
      245573160           2371         0.20193
      245573218          17021         0.035191
      245573448            673         0.23228
      245573496             73         1.0315
      245573638            288         0.50749
      245573672            721         1.5698
      245573877             33         1.2344
      245573902             52         0.34957
      245573915              6         0.58241
      245573934             74         0.036475
      245573935             15         0.56949
      245573962            116         0.035154
      245573968             87         0.82071
      245574004            163         0.20588
      245574055            309         0.19022
      245574068             58         0.23281
      245574070             43         0.024377
      245574092             69         0.029374
      245574105            151         3.6565
      245574163            148         0.091127
      245574166            256         0.03659
      245574195              5         1.2409
      245574199              0         0.019009
      245574220              0         1.1875
      245574221           1552         0.15646
      245574310            188         0.051058
      245574311              4         0.43215
      245574324             66         0.32798
      245574326             53         0.02928
      245574328             65         1.0405
      245574333           1849         0.25487
      245574347             99         0.90229
      245574371            457         0.62345
      245574437             96         0.092609
      245574438            481         0.066038
      245574450             56         0.26112
      245574471             34         3.5427
      245574482              4         0.097722
      245574494            423         0.029772
      245574529             63         0.032986
      245574545             68         0.0058429
      245574566             11         0.048496
      245574573            248         0.055008
      245574578            334         6.4481
      245574585            160         0.16416
      245574607            101         0.060499
      245574608             84         0.039982
      245574619            794         0.12881
      245574627              0         0.94403
      245574660              1         0.26559
      245574710             86         1.5825
      245574742            229         0.25724
      245574752            402         0.62318
      245574760            123         0.63352
