       |BH ID|          |Galaxy ID|   |Distance from Center|
      245571256              0         0.32047
      245571259              5         0.00043937
      245571260              1         0.00056814
      245571368              9         0.0038796
      245572069             23         0.2106
      245572195             48         0.32341
      245572472             29         0.26437
      245572587             32         0.0044379
      245572709           6612         1.4234
      245572964              0         0.98625
      245573730              4         0.43887
      245574085             13         1.1427
      245574086             26         0.039337
      245574832              0         0.62103
      245574950             14         2.63
      245574971            268         0.42512
      245575786              0         0.026638
      245575787             20         1.9438
      245576079              1         0.037741
      245576081             16         0.048997
      245576148             85         0.93534
      245576304              9         0.21194
      245576305             96         0.032949
      245576362             76         0.31986
      245576517              3         0.016446
      245576682            444         1.0174
      245576683           3486         0.035931
      245576805             12         0.75784
      245576814            603         0.037734
      245576862             88         0.0477
      245576881            120         0.012277
      245576892             10         0.35911
      245576943           2970         0.059494
      245576959             74         0.73904
      245576960           1779         0.61268
      245576972             15         0.425
      245577004             38         2.4402
      245577120            150         0.58747
      245577206              6         0.68328
      245577217            126         0.053816
      245577255             49         0.038409
      245577267              0         1.0512
      245577282             40         0.094066
      245577362            162         3.4253
      245577394            306         0.039439
      245577473              0         0.052002
      245577491            322         0.14848
      245577498            154         0.7029
      245577514           2448         0.016885
      245577542              0         0.43233
      245577555              5         0.26816
      245577556           2064         0.012015
      245577588            174         0.64706
      245577594             70         2.4106
      245577659             89         0.039463
      245577677             95         0.023509
      245577699              7         1.2003
      245577744            451         1.6518
      245577763             71         0.26711
      245577775             64         0.024936
      245577792             27         0.23049
      245577817            852         1.126
      245577836            271         0.096206
      245577870             33         0.042001
      245577874             58         1.5724
      245577884             67         0.081709
      245577910              0         0.56674
      245577914             97         0.028305
      245577920            559         1.0052
      245577923            187         0.34019
      245577958             45         0.0081193
      245577959            269         0.022564
      245577964              5         0.026642
      245577966             54         1.0514
      245577984              0         0.10638
      245578002             11         0.046972
      245578014            869         4.0274
      245578018              0         0.82693
      245578031              0         1.4254
      245578047             57         0.032574
      245578079             84         0.051916
      245578085            315         0.81384
      245578347            433         0.037287
      245578349            221         0.026688
      245578501              0         0.01066
      245578522            118         0.2159
      245578556            195         0.098021
      245578585            181         0.11441
      245578662              1         0.26889
      245578669            294         0.082017
      245578674              3         0.55193
