       |BH ID|          |Galaxy ID|   |Distance from Center| 
      245571257              1         0.38101
      245571259              7         0.9319
      245571853             33         0.5906
      245571864             17         0.3089
      245571865              5         0.31069
      245571870              0         0.0166
      245571891              0         0.058124
      245571894             22         0.023691
      245571909             75         0.017369
      245571910             31         0.27518
      245571977            201         0.036285
      245572137             42         0.651
      245572884             80         0.06519
      245572886             21         0.049365
      245572946             28         0.96228
      245572957            111         0.19506
      245572958              4         0.076032
      245572959             44         0.82239
      245573048             88         2.1148
      245573140              3         0.35752
      245573148              3         2.9895
      245573237             23         0.010385
      245573569              7         0.38607
      245573572            892         0.062348
      245573752            214         0.039567
      245573760            755         0.46146
      245573836           3920         0.46504
      245573906              0         0.076355
      245573949              0         0.50692
      245574044             16         1.3615
      245574045             39         0.038143
      245574117            100         1.0232
      245574167            157         0.49361
      245574174              6         0.014103
      245574187            760         0.21756
      245574189             14         0.77113
      245574235            118         0.048575
      245574263            293         0.021128
      245574276             12         0.0345
      245574286             49         0.04832
      245574295           1700         1.122
      245574319             71         2.5052
      245574325            122         0.62243
      245574326           2371         0.068615
      245574349              0         0.76681
      245574412              9         1.2743
      245574413              5         0.039363
      245574423             34         0.15894
      245574477            187         0.67987
      245574558             69         0.60041
      245574588              0         0.47031
      245574612              3         0.46447
      245574636          10123         2.4415
      245574639             91         0.26361
