       |BH ID|          |Galaxy ID|   |Distance from Center|   
      245571257              1         1.3945
      245571728              5         0.19044
      245571756              9         0.00015404
      245571938              0         1.0425
      245572641             14         0.0030804
      245572642             23         0.037678
      245572892             32         0.2202
      245573385              0         0.050581
      245574260             74         0.90155
      245575485             47         1.4841
      245575789             26         0.70192
      245575928              1         2.8131
      245576037            380         0.027214
      245576081              4         0.026406
      245576104             42         0.0017563
      245576114            114         0.13101
      245576274             33         0.12971
      245576429              0         0.12912
