       |BH ID|          |Galaxy ID|   |Distance from Center| 
      245571256           2340         0.32517
      245571258              0         0.64938
      245571260              5         0.006758
      245571262             80         0.4703
      245571264            274         0.14022
      245571267             45         0.13353
      245571273             15         0.0044642
      245571276             24         0.0090074
      245571288            557         1.2607
      245571296              0         0.57132
      245571298              6         0.019121
      245571330              0         0.023524
      245571331             27         0.16913
      245572161             69         0.69919
      245572163            118         0.084928
      245572229             34         0.047523
      245572345              2         0.40278
      245572410              0         2.5871
      245572411            653         0.057176
      245572457            417         0.1012
      245572458              3         0.4377
      245572494             17         0.28616
      245572614             98         0.033557
      245572615            343         0.10289
      245572856             11         0.049548
      245572858             12         0.17759
      245572965            148         0.016884
      245573045             20         0.08889
      245573047            472         0.081758
      245573160            265         0.022647
      245573218             39         0.1365
      245573448            293         2.2445
      245573496             86         1.0702
      245573638            298         1.3743
      245573672             51         3.0884
      245573808              2         0.72668
      245573877             14         0.052397
      245573902            111         0.34469
      245573915              9         0.034495
      245573934             19         0.02398
      245573935             73         1.4368
      245573962             84         0.36546
      245573963            390         0.011257
      245573968             88         0.0093698
      245574004             94         0.094283
      245574012           1205         0.033702
      245574055            289         0.059742
      245574068            601         0.12276
      245574070             58         0.031239
      245574073           1433         0.059011
      245574092           1176         0.038571
      245574105             85         0.5949
      245574163            165         0.025317
      245574166            350         0.074603
      245574195             71         0.24897
      245574199              0         0.05598
      245574220            157         0.024975
      245574221            132         0.10108
      245574310            184         0.068038
      245574311            409         0.15209
      245574324             97         1.1886
      245574326            660         0.6408
      245574328             72         0.0305
      245574333            151         0.23442
      245574347             75         1.643
      245574359              9         0.92686
      245574371             35         0.90955
      245574437            113         0.036917
      245574438            201         0.076104
      245574450             38         0.088441
      245574471             36         0.037718
      245574482              3         1.6525
      245574483            487         1.2582
      245574494            120         0.13376
      245574523            334         0.063637
      245574529            110         0.013496
      245574545             53         0.032072
      245574566             25         0.068671
      245574573            194         0.036794
      245574578            116         0.088718
      245574585            191         0.014745
      245574607             89         0.23789
      245574608             61         0.042162
      245574619            436         0.031511
      245574627            273         0.27963
      245574660           2824         0.48799
      245574710             47         0.47754
      245574742            410         0.40617
      245574752            313         0.06054
      245574760            102         0.37515
      245575062             30         0.7283
