       |BH ID|          |Galaxy ID|   |Distance from Center| 
      245571256              0         3.3459
      245571259             11         0.0058151
      245571260            632         0.0010465
      245571368              5         0.0041942
      245572069             20         0.18133
      245572195             28         0.052942
      245572472             21         0.58347
      245572587             26         0.66856
      245572709              6         0.14614
      245572964              0         0.62209
      245573730              2         0.15302
      245574085             13         0.59276
      245574086           3540         0.18314
      245574832              0         0.65441
      245574950             22         0.89003
      245574971             47         0.10831
      245575786              0         0.16188
      245575787             19         0.22494
      245576079              7         0.026472
      245576081             15         0.018168
      245576148             51         1.1592
      245576304            284         0.062772
      245576305            127         0.054311
      245576362             71         0.3399
      245576517              3         0.072655
      245576682            416         0.49125
      245576683             90         0.049077
      245576805              9         0.035703
      245576814            294         0.14605
      245576847            982         0.061918
      245576862            435         0.089634
      245576881            149         0.053568
      245576892           1549         0.054564
      245576943            281         0.12365
      245576959             89         0.55459
      245576960            401         2.247
      245576972             42         0.4639
      245577004             39         0.013262
      245577120             80         0.025234
      245577206             10         0.041045
      245577217             93         1.4582
      245577255            223         0.0451
      245577267              0         0.42167
      245577280           2306         0.013226
      245577282           2714         0.042117
      245577362             94         0.056126
      245577394            357         3.6991
      245577473            169         0.047084
      245577491            287         0.10944
      245577498            141         0.070957
      245577514            481         0.039231
      245577542              0         0.091516
      245577544             13         0.34952
      245577550             59         0.12423
      245577555             66         0.16414
      245577556            114         1.7223
      245577588            183         0.20269
      245577594             74         0.3483
      245577602            395         0.12592
      245577659             55         0.035762
      245577677             75         0.10684
      245577692             14         0.067545
      245577699             23         0.077709
      245577744             44         0.18453
      245577763            147         1.7
      245577775            864         0.084435
      245577792            215         0.39599
      245577817            660         0.065316
      245577836            335         0.017101
      245577870          10313         0.61956
      245577874             56         0.8581
      245577884             99         0.054542
      245577910            282         0.112
      245577914            148         0.62728
      245577920            239         0.8974
      245577923            122         0.37647
      245577943             10         0.16658
      245577958            125         0.30632
      245577959            222         0.23019
      245577964             78         0.23106
      245577966             70         0.070135
      245577984            192         0.43
      245577988           1145         0.11068
      245577993           1250         0.043628
      245578002             25         0.068076
      245578008             76         0.052061
      245578014            464         0.044818
      245578018              0         0.37079
      245578031            300         0.36073
      245578047            529         0.24626
      245578079             77         0.0374
      245578085            256         0.73559
      245578347            321         0.34685
      245578349            255         4.6183
      245578501             27         0.055372
      245578522            100         0.086967
      245578556            257         1.3454
      245578585            112         0.080516
      245578662            194         0.036747
      245578669            557         0.1044
      245578674              3         0.026373
      245578769            249         0.037657
